NN1,NN2,FULL,StreetAddress,City,State,ZipCode,Country,Tel,InRefTo,Notes,Rate01
LAWalthall,WalthallLA,0065 - Larry A. Walthall,4420 Oak Drive,Germantown,NY,12526-65,US,518-537-0479,65-LAW,Larry A. Walthall,65
UTDunn,DunnUT,0066 - Ursula T. Dunn,4453 Five Points,Hanover,MD,21076-66,US,443-216-3585,66-UTD,Ursula T. Dunn,66
AAHughes,HughesAA,0067 - Arwen A. Hughes,3027 Cost Avenue,Beltsville,MD,20705-67,US,301-442-3937,67-AAH,Arwen A. Hughes,67
CGFolsom,FolsomCG,0068 - Connie G. Folsom,158 Oak Drive,Indian Lake,NY,12842-68,US,518-648-1888,68-CGF,Connie G. Folsom,68
ASTripp,TrippAS,0069 - Abigail S. Tripp,2604 Elsie Drive,Hitchcock,SD,57348-69,US,605-266-7978,69-AST,Abigail S. Tripp,69
AJCornwall,CornwallAJ,0070 - Alannah J. Cornwall,1892 Myra Street,East Providence,RI,02914-70,US,401-431-0214,70-AJC,Alannah J. Cornwall,70
ZLDeamer,DeamerZL,0071 - Zane L. Deamer,4701 Pooh Bear Lane,Greenville,SC,29601-71,US,864-717-4154,71-ZLD,Zane L. Deamer,71
AISutherland,SutherlandAI,0072 - Alix I. Sutherland,4657 Parkway Street,Los Angeles,CA,90017-72,US,760-307-9745,72-AIS,Alix I. Sutherland,72
LCStewart,StewartLC,0073 - Lennox C. Stewart,1442 Olive Street,North Star,OH,45348-73,US,419-336-8683,73-LCS,Lennox C. Stewart,73
OSWetherspoon,WetherspoonOS,0074 - Oliver S. Wetherspoon,4114 Burnside Court,Tempe,AZ,85282-74,US,602-405-0262,74-OSW,Oliver S. Wetherspoon,74
AEZeller,ZellerAE,0075 - Alexander E. Zeller,389 Brannon Avenue,Jacksonville,FL,32044-75,US,904-772-1483,75-AEZ,Alexander E. Zeller,75
RFWhite,WhiteRF,0076 - Rihanna F. White,3044 Edsel Road,Los Angeles,CA,90017-76,US,818-420-3269,76-RFW,Rihanna F. White,76
SSFelan,FelanSS,0077 - Sienna S. Felan,50 Stratford Park,St Meinrad,IN,47577-77,US,812-843-1856,77-SSF,Sienna S. Felan,77
JAHarrison,HarrisonJA,0078 - June A. Harrison,2071 Goosetown Drive,Asheville,NC,28801-78,US,828-633-7406,78-JAH,June A. Harrison,78
TBRoderic,RodericTB,0079 - Tayla B. Roderic,3438 Roosevelt Street,San Francisco,CA,94108-79,US,415-362-6240,79-TBR,Tayla B. Roderic,79
ELMcIntyre,McIntyreEL,0080 - Emilia L. McIntyre,4462 Fannie Street,Houston,TX,77027-80,US,979-255-5362,80-ELM,Emilia L. McIntyre,80
LBFiore,FioreLB,0081 - Linda B. Fiore,854 Poplar Chase Lane,Coeur D Alene,ID,83814-81,US,208-292-4568,81-LBF,Linda B. Fiore,81
HJBancks,BancksHJ,0082 - Harry J. Bancks,3396 Walnut Drive,Ellendale,ND,58436-82,US,701-344-2946,82-HJB,Harry J. Bancks,82
AMLove,LoveAM,0083 - Adolfo M. Love,1891 Braxton Street,Mendota,IL,61342-83,US,815-538-0468,83-AML,Adolfo M. Love,83
LNStevenson,StevensonLN,0084 - Lori N. Stevenson,1844 Elk City Road,Natchitoches,LA,71457-84,US,318-234-1413,84-LNS,Lori N. Stevenson,84
ALRobertson,RobertsonAL,0085 - Abby L. Robertson,3112 James Street,Buffalo,NY,14202-85,US,585-701-3073,85-ALR,Abby L. Robertson,85
ICGilbert,GilbertIC,0086 - Isabella C. Gilbert,3058 Hillcrest Circle,Roseville,MN,55113-86,US,763-647-0926,86-ICG,Isabella C. Gilbert,86
JRWoodd,WooddJR,0087 - Joel R. Woodd,2631 Clarence Court,Hamlet,NC,28345-87,US,910-205-7389,87-JRW,Joel R. Woodd,87
PGPearson,PearsonPG,0088 - Pauline G. Pearson,1043 Pritchard Court,New Ulm,MN,56073-88,US,507-404-7142,88-PGP,Pauline G. Pearson,88
MSSpark,SparkMS,0089 - Matthew S. Spark,2531 Tenmile Road,Boston,MA,02210-89,US,781-763-6607,89-MSS,Matthew S. Spark,89
WBCostello,CostelloWB,0090 - Williams B. Costello,4150 Quilly Lane,Westerville,OH,43081-90,US,614-534-5932,90-WBC,Williams B. Costello,90
JBDavis,DavisJB,0091 - Joseph B. Davis,1603 Highland Drive,Appleton,WI,54911-91,US,920-749-5708,91-JBD,Joseph B. Davis,91
MAMcGregor,McGregorMA,0092 - Martin A. McGregor,207 Nickel Road,Covina,CA,91723-92,US,626-732-3439,92-MAM,Martin A. McGregor,92
LRClark,ClarkLR,0093 - Louisa R. Clark,3707 Pride Avenue,Bayside,NY,11361-93,US,718-357-2805,93-LRC,Louisa R. Clark,93
AEArrant,ArrantAE,0094 - Alejandro E. Arrant,2012 Edwards Street,Rocky Mount,NC,27801-94,US,252-801-7337,94-AEA,Alejandro E. Arrant,94
MAGray,GrayMA,0095 - Marguerite A. Gray,4059 Duck Creek Road,Oakland,CA,94612-95,US,650-897-2169,95-MAG,Marguerite A. Gray,95
JCRichardson,RichardsonJC,0096 - John C. Richardson,1703 Cook Hill Road,Manchester,CT,06040-96,US,203-440-0774,96-JCR,John C. Richardson,96
ABHamilton,HamiltonAB,0097 - Annabelle B. Hamilton,1970 Edsel Road,Irvine,CA,92614-97,US,818-482-4041,97-ABH,Annabelle B. Hamilton,97
AJJukes,JukesAJ,0098 - Amber J. Jukes,3214 Terry Lane,Maitland,FL,32751-98,US,321-329-0390,98-AJJ,Amber J. Jukes,98
JJFrank,FrankJJ,0099 - James J. Frank,4216 Little Street,Greene,OH,44450-99,US,330-583-3570,99-JJF,James J. Frank,99
LBCrowther,CrowtherLB,0100 - Leah B. Crowther,3036 Garrett Street,Lacota,MI,49056-100,US,269-253-5799,100-LBC,Leah B. Crowther,100
BSLewis,LewisBS,0101 - Bryan S. Lewis,4492 Massachusetts Avenue,Washington,DC,20005-101,US,202-682-8342,101-BSL,Bryan S. Lewis,101
BTGlencross,GlencrossBT,0102 - Brodie T. Glencross,3278 Coulter Lane,Richmond,VA,23233-102,US,804-280-8249,102-BTG,Brodie T. Glencross,102
LGMartin,MartinLG,0103 - Lexi G. Martin,1554 Armbrester Drive,Manhattan Beach,CA,90266-103,US,310-546-9476,103-LGM,Lexi G. Martin,103
EJDelacruz,DelacruzEJ,0104 - Emilio J. Delacruz,2518 Parrill Court,Gary,IN,46402-104,US,219-689-3749,104-EJD,Emilio J. Delacruz,104
JCWood,WoodJC,0105 - Jodie C. Wood,327 Brown Avenue,Greenwood,SC,29646-105,US,864-942-7377,105-JCW,Jodie C. Wood,105
JJAlgeranoff,AlgeranoffJJ,0106 - Jessica J. Algeranoff,4241 Sharon Lane,Jefferson City,MO,65101-106,US,573-893-2089,106-JJA,Jessica J. Algeranoff,106
MJParry,ParryMJ,0107 - Mariam J. Parry,4807 Bee Street,Traverse City,MI,49684-107,US,231-878-1512,107-MJP,Mariam J. Parry,107
ARWrigley,WrigleyAR,0108 - Alicia R. Wrigley,823 Raintree Boulevard,Muncie,IN,47305-108,US,765-214-5069,108-ARW,Alicia R. Wrigley,108
LIMaddocks,MaddocksLI,0109 - Liam I. Maddocks,3673 Waterview Lane,Albuquerque,NM,87102-109,US,505-493-1090,109-LIM,Liam I. Maddocks,109
SSLepe,LepeSS,0110 - Sheri S. Lepe,3619 Jett Lane,Gardena,CA,90248-110,US,310-739-3902,110-SSL,Sheri S. Lepe,110
STMcLean,McLeanST,0111 - Subhan T. McLean,1030 Sharon Lane,South Bend,IN,46601-111,US,574-232-4556,111-STM,Subhan T. McLean,111
BICumbrae,CumbraeBI,0112 - Beau I. Cumbrae,2693 Olen Thomas Drive,Decatur,TX,76234-112,US,940-627-5724,112-BIC,Beau I. Cumbrae,112
DTBenson,BensonDT,0113 - Donald T. Benson,111 Wood Street,Metairie,LA,70001-113,US,985-974-0068,113-DTB,Donald T. Benson,113
JISellers,SellersJI,0114 - Jason I. Sellers,2525 School Street,Washington,DC,20007-114,US,202-944-0585,114-JIS,Jason I. Sellers,114
KJMilne,MilneKJ,0115 - Kelsi J. Milne,209 Charmaine Lane,Happy,TX,79042-115,US,806-558-5465,115-KJM,Kelsi J. Milne,115
JDRico,RicoJD,0116 - John D. Rico,3944 Sweetwood Drive,Denver,CO,80202-116,US,303-335-0438,116-JDR,John D. Rico,116
TLMacleod,MacleodTL,0117 - Tommy L. Macleod,3450 McDowell Street,Nashville,TN,37210-117,US,931-328-6586,117-TLM,Tommy L. Macleod,117
CKReid,ReidCK,0118 - Cassie K. Reid,1825 Edwards Street,Greenville,NC,27858-118,US,252-644-4051,118-CKR,Cassie K. Reid,118
DSConner,ConnerDS,0119 - Dirk S. Conner,3454 Locust View Drive,San Francisco,CA,94108-119,US,415-989-6330,119-DSC,Dirk S. Conner,119
ADEastman,EastmanAD,0120 - Arthur D. Eastman,4205 Norma Lane,Many,LA,71449-120,US,318-590-6265,120-ADE,Arthur D. Eastman,120
KIMitchell,MitchellKI,0121 - Kayla I. Mitchell,3256 Emerson Road,Pleasant Hill,LA,71063-121,US,318-796-2786,121-KIM,Kayla I. Mitchell,121
BAHamilton,HamiltonBA,0122 - Brogan A. Hamilton,2464 Retreat Avenue,Biddeford,ME,04005-122,US,207-337-0789,122-BAH,Brogan A. Hamilton,122
KAHill,HillKA,0123 - Kaden A. Hill,3103 Bastin Drive,Newark,PA,19714-123,US,484-756-0345,123-KAH,Kaden A. Hill,123
ASMcKelvey,McKelveyAS,0124 - Ashley S. McKelvey,2820 Fulton Street,Buckhannon,WV,26201-124,US,304-473-1148,124-ASM,Ashley S. McKelvey,124
MICribb,CribbMI,0125 - Matthew I. Cribb,603 Whispering Pines Circle,Dallas,TX,75247-125,US,972-428-2322,125-MIC,Matthew I. Cribb,125
JILykins,LykinsJI,0126 - James I. Lykins,1046 Coal Street,Altoona,PA,16602-126,US,814-327-5404,126-JIL,James I. Lykins,126
KCHamilton,HamiltonKC,0127 - Kaitlin C. Hamilton,1848 Boggess Street,Wichita Falls,TX,76301-127,US,940-228-7023,127-KCH,Kaitlin C. Hamilton,127
FEWright,WrightFE,0128 - Frank E. Wright,3706 Armory Road,Jacksonville,NC,28540-128,US,910-787-7955,128-FEW,Frank E. Wright,128
ETKavanaugh,KavanaughET,0129 - Eden T. Kavanaugh,2461 Bell Street,New York,NY,10029-129,US,212-241-5905,129-ETK,Eden T. Kavanaugh,129
JHLienhop,LienhopJH,0130 - Jorja H. Lienhop,484 Hudson Street,Piscataway,NJ,08854-130,US,973-969-8451,130-JHL,Jorja H. Lienhop,130
AJHay,HayAJ,0131 - Abi J. Hay,2758 Roosevelt Street,Concord,CA,94520-131,US,415-425-4491,131-AJH,Abi J. Hay,131
SBPerez,PerezSB,0132 - Stephen B. Perez,4900 Comfort Court,Westfield,WI,53964-132,US,608-296-3618,132-SBP,Stephen B. Perez,132
VBShowalter,ShowalterVB,0133 - Violet B. Showalter,1685 Oak Street,Syracuse,NY,13202-133,US,315-294-8905,133-VBS,Violet B. Showalter,133
PASadler,SadlerPA,0134 - Patrick A. Sadler,4784 Coventry Court,Gulfport,MS,39501-134,US,228-259-7108,134-PAS,Patrick A. Sadler,134
ELMassie,MassieEL,0135 - Edward L. Massie,4269 Wood Duck Drive,Marquette,MI,49855-135,US,906-305-3113,135-ELM,Edward L. Massie,135
JSToledo,ToledoJS,0136 - John S. Toledo,3444 Barnes Street,Orlando,FL,32809-136,US,407-251-4491,136-JST,John S. Toledo,136
JJKing,KingJJ,0137 - Julia J. King,1895 Linden Avenue,Longwood,FL,32750-137,US,407-509-5379,137-JJK,Julia J. King,137
FMHay,HayFM,0138 - Franciszek M. Hay,2849 Koontz Lane,North Hollywood,CA,91605-138,US,818-764-5817,138-FMH,Franciszek M. Hay,138
CLAyers,AyersCL,0139 - Claire L. Ayers,4002 Rockford Road,Mansfield,MA,02048-139,US,774-627-6116,139-CLA,Claire L. Ayers,139
FCFerrier,FerrierFC,0140 - Flynn C. Ferrier,1684 Ridenour Street,Miramar,FL,33025-140,US,786-246-5778,140-FCF,Flynn C. Ferrier,140
PLBurns,BurnsPL,0141 - Piper L. Burns,657 Jadewood Farms,Passaic,NJ,07055-141,US,973-365-5191,141-PLB,Piper L. Burns,141
GHPapathanasopoulos,PapathanasopoulosGH,0142 - Gabriel H. Papathanasopoulos,1803 Cherry Tree Drive,Ponte Vedra Beach,FL,32082-142,US,904-280-7228,142-GHP,Gabriel H. Papathanasopoulos,142
EJTroutt,TrouttEJ,0143 - Edward J. Troutt,730 Mount Tabor,New York,NY,10007-143,US,914-505-4947,143-EJT,Edward J. Troutt,143
KBClubbe,ClubbeKB,0144 - Keira B. Clubbe,3642 Bungalow Road,Burchard,NE,68323-144,US,402-865-7060,144-KBC,Keira B. Clubbe,144
ECWare,WareEC,0145 - Edward C. Ware,4567 Lynn Avenue,Junction City,WI,54443-145,US,715-457-6157,145-ECW,Edward C. Ware,145
JJMurphy,MurphyJJ,0146 - Jaiden J. Murphy,1871 Timberbrook Lane,Fort Collins,CO,80525-146,US,970-282-7771,146-JJM,Jaiden J. Murphy,146
BMRoss,RossBM,0147 - Bilal M. Ross,3000 New York Avenue,Dallas,TX,75204-147,US,817-987-6083,147-BMR,Bilal M. Ross,147
JLHalliday,HallidayJL,0148 - Joshua L. Halliday,4826 Elsie Drive,Irene,SD,57037-148,US,605-263-7266,148-JLH,Joshua L. Halliday,148
ALMeldrum,MeldrumAL,0149 - Alexis L. Meldrum,2390 Dawson Drive,Little Rock,AR,72118-149,US,501-851-5320,149-ALM,Alexis L. Meldrum,149
WCWheeler,WheelerWC,0150 - William C. Wheeler,2869 Clearview Drive,Denver,CO,80219-150,US,303-742-8452,150-WCW,William C. Wheeler,150
SDWilson,WilsonSD,0151 - Sylvia D. Wilson,3672 May Street,Meads,KY,41129-151,US,606-316-7194,151-SDW,Sylvia D. Wilson,151
WJSalazar,SalazarWJ,0152 - William J. Salazar,1125 Dennison Street,Modesto,CA,95351-152,US,209-556-3023,152-WJS,William J. Salazar,152
JWButler,ButlerJW,0153 - Jaime W. Butler,2562 Barnes Avenue,Cincinnati,OH,45202-153,US,513-665-8837,153-JWB,Jaime W. Butler,153
JDLawrence,LawrenceJD,0154 - James D. Lawrence,2498 Cimmaron Road,Anaheim,CA,92806-154,US,714-630-8571,154-JDL,James D. Lawrence,154
ASHannan,HannanAS,0155 - Archie S. Hannan,2697 Charack Road,Sullivan,IN,47882-155,US,812-268-8098,155-ASH,Archie S. Hannan,155
AJMorris,MorrisAJ,0156 - Alanna J. Morris,172 Layman Court,Covington,GA,30209-156,US,678-342-8569,156-AJM,Alanna J. Morris,156
JMBadgery,BadgeryJM,0157 - Jackson M. Badgery,4844 Prospect Valley Road,Los Angeles,CA,90067-157,US,310-983-2314,157-JMB,Jackson M. Badgery,157
DAMoore,MooreDA,0158 - Darren A. Moore,3750 Stoneybrook Road,Lake Mary,FL,32746-158,US,321-536-5400,158-DAM,Darren A. Moore,158
XAWunderly,WunderlyXA,0159 - Xavier A. Wunderly,3861 Jenna Lane,Cincinnati,OH,45241-159,US,513-981-8251,159-XAW,Xavier A. Wunderly,159
MBGeorge,GeorgeMB,0160 - Mary B. George,3230 Paul Wayne Haggerty Road,New Orleans,LA,70114-160,US,504-367-6121,160-MBG,Mary B. George,160
ANDemaine,DemaineAN,0161 - Aiden N. Demaine,1141 Walnut Street,Vicksburg,MS,39180-161,US,601-638-5847,161-AND,Aiden N. Demaine,161
DLMilewski,MilewskiDL,0162 - Danny L. Milewski,1864 Heritage Road,Tulare,CA,93274-162,US,559-685-5806,162-DLM,Danny L. Milewski,162
ADCano,CanoAD,0163 - Adam D. Cano,964 Mandan Road,Columbia,MO,65207-163,US,573-881-6556,163-ADC,Adam D. Cano,163
EKBirdwood,BirdwoodEK,0164 - Elijah K. Birdwood,4354 Roosevelt Street,Oakland,CA,94612-164,US,415-358-5969,164-EKB,Elijah K. Birdwood,164
JLGillard,GillardJL,0165 - Joe L. Gillard,4432 Davis Court,Stlouis,IL,63101-165,US,618-973-7434,165-JLG,Joe L. Gillard,165
DCKelly,KellyDC,0166 - Duncan C. Kelly,337 Bingamon Branch Road,Wheeling,IL,60090-166,US,847-214-0220,166-DCK,Duncan C. Kelly,166
AMMorrison,MorrisonAM,0167 - Alan M. Morrison,3893 Confederate Drive,Syracuse,NY,13202-167,US,315-661-1014,167-AMM,Alan M. Morrison,167
MCAitken,AitkenMC,0168 - Myles C. Aitken,2369 Koontz Lane,Los Angeles,CA,90017-168,US,818-745-0423,168-MCA,Myles C. Aitken,168
JHGipps,GippsJH,0169 - Jayden H. Gipps,1823 Thorn Street,Spearfish,WY,57783-169,US,307-643-0287,169-JHG,Jayden H. Gipps,169
LNBlackwell,BlackwellLN,0170 - Lisa N. Blackwell,787 Cody Ridge Road,Clinton,OK,73601-170,US,580-515-6223,170-LNB,Lisa N. Blackwell,170
LAMaggie,MaggieLA,0171 - Lennon A. Maggie,4511 Gorby Lane,Jackson,MS,39201-171,US,601-301-9231,171-LAM,Lennon A. Maggie,171
IJTribolet,TriboletIJ,0172 - Imogen J. Tribolet,4416 Sigley Road,Everest,KS,66424-172,US,785-548-3251,172-IJT,Imogen J. Tribolet,172
TFTaylor,TaylorTF,0173 - Teegan F. Taylor,4301 Stoneybrook Road,Cocoa,FL,32922-173,US,321-634-9405,173-TFT,Teegan F. Taylor,173
DJBorja,BorjaDJ,0174 - Deborah J. Borja,3321 Freshour Circle,San Antonio,TX,78212-174,US,210-274-7715,174-DJB,Deborah J. Borja,174
ENGrant,GrantEN,0175 - Euan N. Grant,1219 James Street,Rochester,NY,14608-175,US,585-531-5831,175-ENG,Euan N. Grant,175
